roomPerimeter,rotError.mean.std
837.315270419,0.0051668558009
747.238694267,0.127889138475
1588.62791478,0.00340156190411
1351.09384402,0.000529720236435
458.622966465,0.00274200687267
125.926169628,0.000868010041646
302.601396954,0.000988470995105
501.062394277,0.00429956664055
1837.42341771,0.00305267434636
688.861804167,0.00325076749757
662.793955846,0.00162224709611
345.129490021,0.00122251686463
456.293929549,0.00481593435646
315.925559425,0.00139556645188
243.357074819,0.00295561424787
409.663330218,0.00086073843683
203.831915727,0.00087903722649
608.510749633,0.00234359606884
811.724322072,0.00196300121238
789.405453777,0.00475371639426
498.214112703,0.00397965134483
349.485622363,0.00194485015484
623.087494685,0.011229552043
506.227250231,0.00728678377751
469.640967896,0.0240067761271
470.629120514,0.00587163384417
343.406315926,0.00364257671701
349.626511091,0.00193137045088
503.178792264,0.00350567334933
824.277775057,0.011540864302
481.48305766,0.00169851493892
859.077312371,0.00387832424544
1023.76949412,0.018982936371
1483.77049838,0.00268365863701
1208.95867135,0.00951347370549
1173.67459887,0.0113683540574
537.162909983,0.0102189055546
845.005713505,0.00279617073466
279.62861162,0.00119649202124
780.915742482,0.00373159733983
909.128599512,0.00435481252733
623.395444333,0.00284573492967
787.160481335,0.00405173873492
551.960813093,0.00258198449888
655.096395443,0.00935193660277
1086.4876646,0.00120964368307
1357.05101607,0.00544625576124
1113.23214774,0.0122018643728
636.640571297,0.00687929093309
883.283838598,0.00319700990545
638.505269241,0.00317220657184
1290.51989442,0.00212895982035
474.810346145,0.00283126115696
502.295701425,0.00479663990611
687.882051882,0.00169591170353
1293.11063322,0.00167382816322
602.61103687,0.00464877681209
864.15979835,0.00631663664558
846.661098224,0.00267358431567
687.49670878,0.00290650421563
454.8062828,0.00604227499064
406.40042891,0.00633767378436
865.683726415,0.000897543822652
580.17017166,0.00296056940863
551.429068269,0.00514108200771
620.854347876,0.0018376947053
651.012500721,0.00559589829449
367.406975129,0.0018378217927
1075.51367261,0.00470429841354
533.159488544,0.00584007398849
377.956377889,0.00290145318257
900.193877884,0.0102512932546
496.333168951,0.00140772643706
1394.54206022,0.00163527502515

5-Fold RMSE:,0.00349252594242,0.00453763731314,0.00471974172844,0.00461657673626,0.00461657673626
Average 5-Fold RMSE:,0.0102085917449

5-Fold rsquared:,-0.161562915122,-0.219586446772,-0.213312056164,-0.0576673337617,-0.0576673337617
Average 5-Fold rsquared:,-0.173987900287
