voronoi_traversal_distance,transError.std.mean
1349.09985599,0.597974409091
919.718726924,0.3833542
419.663612797,0.198447578947
211.703543676,0.12269
265.490773911,0.153758035714
1173.06783952,0.443964518519
1490.99507567,0.531760416667
841.175649661,0.402073772727
512.459790786,0.30601326087
183.023661923,0.133319189189
288.952643527,0.194677542857
191.014634059,0.11035772
162.313862645,0.139761666667
384.763332574,0.178360027027
546.868433022,0.2198439
384.284799509,0.243437428571
1093.28515564,0.256086724138
823.369821087,0.338521882353
1603.67256076,0.583932391304
726.421235223,0.325802619048
1455.54715772,0.59423269697
1342.9430314,0.577431384615
608.712541442,0.38375874359
1371.34741951,0.698436384615
550.763056801,0.3659623
1001.59400158,0.690604043478
498.802202458,0.404276533333
951.22385554,0.441453846154
633.149187702,0.237735884615
808.608614515,0.225124575758
897.190026783,0.256219483871
1578.35836762,0.65674012
918.534020399,0.358577384615
1008.03211816,0.362996384615
870.931728251,0.287370933333
1371.33686714,0.50726
274.928270325,0.0964399411765
658.752298095,0.236416833333
750.178214424,0.35981112
510.678711028,0.273577115385
1567.27616653,0.702296269231
1367.57529848,0.558222807692
492.886623007,0.282527217391
740.557101864,0.292004974359
1069.35769226,0.441571769231
1006.22432177,0.501131740741
520.067365763,0.346335935484
717.088483789,0.466183297297
354.772213719,0.309707785714
1193.67522752,0.503770083333
439.245777626,0.218116833333
431.491340742,0.1932868
425.603880936,0.310407555556
1025.57459113,0.50208644
589.758911653,0.29558275
656.952316561,0.442420407407
754.01694709,0.337067487179
699.590611899,0.286365322581
484.299613589,0.19540578125
339.901939934,0.171382926829
205.223499199,0.327402357143
609.45010448,0.287927933333
1187.28583886,0.466749133333
639.103357547,0.224714148148
874.938568522,0.483949818182
285.340344762,0.153626448276
870.904226907,0.380862583333
731.103227949,0.2900733125
618.684245989,0.203370592593
2080.31115619,0.522405666667
786.534337607,0.237020576923
653.648966259,0.17280424
1138.67499527,0.366907921053
2035.82864252,0.789124346154

5-Fold RMSE:,0.0596849203605,0.105451831595,0.0645387581195,0.103849016322,0.103849016322
Average 5-Fold RMSE:,0.0840180369248

5-Fold rsquared:,0.749109373869,0.525855305947,0.906299225458,0.698454646602,0.698454646602
Average 5-Fold rsquared:,0.610801045397
