std_eigenvector_centrality,rotError.std.std
0.061688422116,0.00544283981045
0.0628848579041,0.00238204213415
0.0735873626594,0.00443794731193
0.122421627337,0.00221181244909
0.100010706049,0.00124875791759
0.0665140899304,0.00670812510145
0.0499869171086,0.00526352379524
0.0583048887054,0.00913242766636
0.0772599538281,0.00109827381314
0.092355006202,0.001820392131
0.0942375781658,0.0115835540733
0.107306514034,0.00242628577179
0.107707055274,0.00881799279479
0.0906409739223,0.00155158807808
0.104297507721,0.00133593491358
0.115439442184,0.0033034977955
0.0650409083878,0.00457690250041
0.0583229555488,0.010818340273
0.0594842394656,0.00939720652641
0.0788215763143,0.00241009476396
0.0480134270942,0.00935003691155
0.0633224148962,0.0239013077489
0.0695045297866,0.0967031592699
0.0539293297254,0.0235713891725
0.0795172592942,0.00693154786835
0.0794001997108,0.00719629727175
0.103601683322,0.00729724936466
0.0621418524861,0.00928123177602
0.0664741323194,0.00146296711826
0.0586477113224,0.00345204746565
0.0588844988291,0.0235237306324
0.0718074587629,0.00431503222254
0.0433166383751,0.0109164373752
0.0480981747221,0.0384564311949
0.0571208297746,0.0101640285899
0.0527148108833,0.0060490277033
0.108039224395,0.00237160519209
0.0670363744304,0.00513266581564
0.064562611159,0.00798833628714
0.095602752891,0.00480609803905
0.0559140808964,0.00931314053418
0.057696329759,0.0035854966117
0.0863325328339,0.0090749635613
0.0684244190537,0.00197943739482
0.0595416486538,0.00752716726779
0.0570370754118,0.0245157322818
0.0701124270704,0.0131644023743
0.0655147896749,0.00816947942897
0.0741480740915,0.00596216482169
0.0598781678858,0.00530810796887
0.0814587853061,0.00290363576381
0.0716576654504,0.00562260485523
0.0817727657324,0.00593740494427
0.0609360751897,0.0031691424541
0.0756944120562,0.00408505580913
0.0625710750276,0.0074098626606
0.0778171239841,0.00358325893136
0.071506866971,0.00295568783369
0.0754874067928,0.00524304033256
0.0768360610148,0.00492444947089
0.183177866246,0.00284535658194
0.0882860014571,0.00668196581096
0.0623255741929,0.00806206474837
0.0811425974437,0.00651974844058
0.063736397957,0.0102982308024
0.0876523795269,0.00348419817228
0.0655788298353,0.00773341395644
0.0585601819606,0.00707002400913
0.0666331321729,0.0034764729288
0.046391247244,0.00413643864616
0.0702204048489,0.0129904271285
0.0626679442345,0.00201918335413
0.0665682795308,0.00303309851547
0.0393741635952,0.00469485154998
