topology_std_closeness_centrality,rotError.numSamples.std
0.0565394436277,4496.65449768
0.0749235383167,1068.57195671
0.0701663659578,257.853455343
0.0657681785738,141.850142792
0.13065442293,182.929460449
0.0624073878507,2244.05747734
0.0845695226798,3935.77212331
0.0670242256695,2874.5710625
0.0669124340965,363.803157271
0.0765484380217,147.306005198
0.0646504304243,2626.374729
0.0905223954098,108.084781537
0.0900481570651,1084.0791156
0.115187813932,180.818284498
0.0899535979605,273.731419461
0.116857256136,642.991734482
0.0594648531491,702.453163625
0.157134840264,1510.28589149
0.0588838687402,14872.7918784
0.0853782568654,720.79837633
0.0673104249139,9225.92445392
0.0945135561085,3023.39259484
0.0868958235123,2651.41884337
0.0639585892462,24043.8800652
0.101375536596,1616.41335473
0.0845009452369,8919.29941979
0.108458483731,1725.55951023
0.0665544387217,1863.36560045
0.0374305305731,624.17813537
0.0536432565224,620.469279434
0.068198206604,857.003410118
0.0745594040261,5103.87888822
0.0408820498034,1966.19530209
0.0633289348438,1057.23261059
0.0526834428243,1483.83345876
0.0472063942178,3961.17166175
0.095743320775,165.786311893
0.0508982298677,2139.14201672
0.0555799197274,1428.99660238
0.0834404573371,968.189122803
0.0403607033676,5433.37490878
0.0537675872802,3842.62601996
0.0747329471831,1817.05743137
0.0468274295182,691.528513091
0.072643836412,8506.08116752
0.0530174475837,3722.68290681
0.0701235418297,1936.04140841
0.0757339072829,4393.41939757
0.0930764684502,1687.4634671
0.0570677408173,2072.14962693
0.0819311450325,383.599850828
0.0947118368488,786.667567909
0.0492781042019,1917.94562562
0.045934575683,2174.75877982
0.0790551718017,748.389444073
0.0751243143765,2608.69783514
0.0714943970357,1354.24201138
0.0470059839967,490.102011085
0.0714476214654,432.474999277
0.0858487345512,473.088895362
0.0699051405756,597.094712473
0.0729452660304,1136.24840985
0.0600455297118,3100.93252085
0.0706887474473,803.781894131
0.0775007939585,1700.53022844
0.115934965711,316.936671506
0.0606107891583,2065.32399555
0.0707140975918,1024.40711512
0.0834460534495,350.849437575
0.0722237137313,3504.51641908
0.0806190931631,2631.23148885
0.087565063355,257.78020405
0.0735940216048,1433.91482635
0.0598415157943,4268.01882728

5-Fold RMSE:,1907.82100176,3761.3393856,6018.03046271,1714.79931438,1714.79931438
Average 5-Fold RMSE:,3111.92043009

5-Fold rsquared:,-0.00664050021674,-0.21423065079,-0.00833344881271,-0.133178194969,-0.133178194969
Average 5-Fold rsquared:,-0.148300521933
