topology_avg_eigenvector_centrality,transError.numSamples.mean
0.113226954911,4854.31818182
0.15823892784,2208.2
0.220862517752,533.736842105
0.289813254238,281.035714286
0.255343126462,375.75
0.110396908215,2982.96296296
0.123966518411,4729.04166667
0.145353392472,2494.54545455
0.168397280035,1109.95652174
0.219330026797,244.540540541
0.21036718925,830.8
0.207059648579,180.0
0.204125528772,450.733333333
0.218161382726,456.135135135
0.230939345144,628.1
0.215357473045,954.971428571
0.133192244046,914.034482759
0.569035593729,2059.76470588
0.112421327167,8438.2173913
0.189310947774,1611.28571429
0.117099210659,6025.96969697
0.160895527543,4245.57692308
0.150746564917,2369.74358974
0.125390723695,11003.8461538
0.187043352329,2018.0
0.184013731576,8121.34782609
0.19511088322,2459.1
0.13865641287,2825.15384615
0.110011276684,898.038461538
0.118473793797,845.545454545
0.126010953526,908.161290323
0.148732170502,6648.12
0.0976862702812,2004.73076923
0.101913121764,1650.23076923
0.0917543071379,1444.0
0.102965149381,4167.25714286
0.243823786365,160.676470588
0.0996411169057,1054.375
0.141536517399,1731.48
0.202768108095,1206.76923077
0.103876954315,6763.84615385
0.177507132432,4317.96153846
0.177732551984,1501.82608696
0.0849988140114,1183.46153846
0.145123925159,4219.69230769
0.115000447066,3851.77777778
0.137963629888,2071.29032258
0.19029821377,3696.67567568
0.212455101814,1492.89285714
0.14158313783,3379.41666667
0.175986025184,655.766666667
0.179686344074,619.76
0.150600129793,1611.27777778
0.124066045206,3842.36
0.162656297032,1278.8
0.152601241746,2906.77777778
0.176734832805,1697.56410256
0.138402754199,1119.77419355
0.174127568122,581.0
0.211605641264,510.341463415
0.194446635085,1266.60714286
0.207590251003,1420.46666667
0.124928999144,3455.96666667
0.180911427975,754.666666667
0.144827625308,2924.18181818
0.216969516308,407.793103448
0.133171073548,2267.29166667
0.131709467573,1168.5
0.213365923892,609.074074074
0.112870781893,4291.20833333
0.162006200604,1209.07692308
0.192836011616,461.08
0.142728448751,1971.81578947
0.137505066747,8361.53846154

5-Fold RMSE:,2556.81945173,1867.29227491,2462.35472618,2770.75998035,2770.75998035
Average 5-Fold RMSE:,2247.67441853

5-Fold rsquared:,0.041655636625,0.180270491703,-0.0285428784632,-5.38437834067,-5.38437834067
Average 5-Fold rsquared:,-0.999336008977
