nodes,transError.numSamples.std
256,5234.2224285
246,1068.57195671
175,257.853455343
60,141.850142792
93,182.929460449
223,3510.04999446
395,3935.77212331
291,4927.43898941
163,363.803157271
113,147.306005198
105,2626.374729
81,108.084781537
81,1084.0791156
115,183.153742003
85,273.731419461
70,642.991734482
228,736.775631788
289,1510.28589149
278,14727.7449601
156,2308.33572565
431,9784.61316845
244,8108.00744572
201,2866.01159506
337,25803.4507764
140,2219.38941949
154,8919.29941979
85,1725.55951023
250,3228.66340734
221,308.046732032
285,701.623265043
283,12253.024445
190,5103.87888822
530,12190.977691
427,10206.0904135
301,1947.88730019
350,4006.02426321
76,189.939449112
215,338.663728636
230,4015.83521781
105,968.189122803
316,5532.41528027
295,1328.17120275
129,4913.35122961
211,897.213776087
278,12782.2996962
301,15884.6134701
189,3217.32940007
229,4350.15152402
174,1687.4634671
272,2927.87105563
143,383.599850828
183,379.749169978
146,1917.94562562
263,2174.75877982
170,1102.42140417
250,2925.49410622
159,3355.85891523
191,490.102011085
172,175.644666554
166,473.088895362
22,617.028443908
124,1136.24840985
253,4289.42952164
146,803.781894131
243,1881.63948857
126,316.936671506
229,2151.72678867
281,6754.77336762
215,350.849437575
462,3895.98161441
194,9293.22106863
246,257.78020405
222,1433.91482635
640,4998.19879432
