topology_std_eigenvector_centrality,transError.mean.std
0.0983045532532,0.187622165382
0.105212691271,0.117509395197
0.10756347235,0.150879627982
0.122312884505,0.0626106276575
0.1677582343,0.0363222141704
0.126523822532,0.0240230927776
0.134659649123,0.0231752964896
0.0953368680058,0.244942705536
0.10463312949,0.118403445404
0.143314542052,0.25684750383
0.155800946802,0.0468835943002
0.136238783067,0.0525575836354
0.12070283799,0.0652650350355
0.154249695615,0.0380406378831
0.144335610656,0.048698079138
0.122088537902,0.0471928668924
0.115471578888,0.015699391456
0.126969125396,0.0795487657361
0.149197272515,0.0609893108178
0.0976310729378,0.0634488000674
0.0929410616606,0.157331633444
0.129587592,0.225853461955
0.0976912934536,0.335983825039
0.112134596259,0.192289958812
0.108435380695,0.0925116985357
0.116999705628,0.173005460782
0.132839614937,0.150862439925
0.127039153774,0.113382526137
0.120678590464,0.0940625752148
0.118775976121,0.228409668405
0.122166059236,0.0484971177734
0.11397801196,0.0700468458533
0.112661742233,0.287812908678
0.133711411098,0.109859637786
0.0795638641065,0.30823195051
0.106549735087,0.251954545215
0.111420287448,0.158847840005
0.0928921269199,0.112238353718
0.132185619966,0.0402882774962
0.122766639694,0.0825251437691
0.105912295049,0.1264444763
0.133073753052,0.0703616797672
0.114101280324,0.114763250904
0.109405113251,0.0896356459078
0.12661037708,0.185040710074
0.120475441694,0.14370205831
0.11078077306,0.281651273406
0.108512198276,0.217198105027
0.13417553378,0.0868164172079
0.128133402293,0.121972989288
0.131768090649,0.0844506183324
0.130350497196,0.0812632064472
0.129026999341,0.0478290808047
0.133089510306,0.165411061738
0.14421463787,0.063039235743
0.104515098912,0.0862053699096
0.123327189632,0.123650418782
0.129278231027,0.166220167829
0.136984666563,0.205108169667
0.119071453185,0.067525357097
0.123020874141,0.0711609699581
0.133127955687,0.0754858045801
0.121745985772,0.0664587250454
0.125418567606,0.06593977187
0.113860325594,0.17018166168
0.122025009105,0.060063217006
0.11116785633,0.14039673261
0.124194319488,0.0600886637503
0.0963975736058,0.141798879212
0.105943592175,0.259118831645
0.130288075133,0.0554747715395
0.12417994054,0.22720282762
0.1242813404,0.0490437767207
0.113850442469,0.0852449136299

5-Fold RMSE:,0.0826282027009,0.0727393843103,0.0749013955631,0.064046325689,0.064046325689
Average 5-Fold RMSE:,0.0709173105654

5-Fold rsquared:,0.234480178706,0.0525359430599,0.406847218702,0.114060511609,0.114060511609
Average 5-Fold rsquared:,0.176042053742
