topology_std_eigenvector_centrality,transError.numSamples.mean
0.10756347235,4854.31818182
0.122312884505,2208.2
0.1677582343,533.736842105
0.126523822532,281.035714286
0.134659649123,375.75
0.0953368680058,2982.96296296
0.10463312949,4729.04166667
0.143314542052,2494.54545455
0.155800946802,1109.95652174
0.136238783067,244.540540541
0.12070283799,830.8
0.154249695615,180.0
0.144335610656,450.733333333
0.122088537902,456.135135135
0.115471578888,628.1
0.126969125396,954.971428571
0.149197272515,914.034482759
0.0976310729378,2059.76470588
0.0929410616606,8438.2173913
0.129587592,1611.28571429
0.0976912934536,6025.96969697
0.112134596259,4245.57692308
0.108435380695,2369.74358974
0.116999705628,11003.8461538
0.132839614937,2018.0
0.127039153774,8121.34782609
0.120678590464,2459.1
0.118775976121,2825.15384615
0.122166059236,898.038461538
0.11397801196,845.545454545
0.112661742233,908.161290323
0.133711411098,6648.12
0.0795638641065,2004.73076923
0.106549735087,1650.23076923
0.111420287448,1444.0
0.0928921269199,4167.25714286
0.132185619966,160.676470588
0.122766639694,1054.375
0.105912295049,1731.48
0.133073753052,1206.76923077
0.114101280324,6763.84615385
0.109405113251,4317.96153846
0.12661037708,1501.82608696
0.120475441694,1183.46153846
0.11078077306,4219.69230769
0.108512198276,3851.77777778
0.13417553378,2071.29032258
0.128133402293,3696.67567568
0.131768090649,1492.89285714
0.130350497196,3379.41666667
0.129026999341,655.766666667
0.133089510306,619.76
0.14421463787,1611.27777778
0.104515098912,3842.36
0.123327189632,1278.8
0.129278231027,2906.77777778
0.136984666563,1697.56410256
0.119071453185,1119.77419355
0.123020874141,581.0
0.133127955687,510.341463415
0.121745985772,1266.60714286
0.125418567606,1420.46666667
0.113860325594,3455.96666667
0.122025009105,754.666666667
0.11116785633,2924.18181818
0.124194319488,407.793103448
0.0963975736058,2267.29166667
0.105943592175,1168.5
0.130288075133,609.074074074
0.105212691271,4291.20833333
0.12417994054,1209.07692308
0.1242813404,461.08
0.113850442469,1971.81578947
0.0983045532532,8361.53846154

5-Fold RMSE:,1410.2091938,1240.97205907,1802.75837822,2776.29001191,2776.29001191
Average 5-Fold RMSE:,2006.41556673

5-Fold rsquared:,0.0293703429172,0.146174036028,-0.315795203187,0.39606944966,0.39606944966
Average 5-Fold rsquared:,-0.00271700578986
