avg_shortest_path_length,transError.mean.mean
12.5083333333,0.507673043478
13.3569271611,0.347489733333
12.912183908,0.178033842105
5.78474576271,0.111519571429
9.30294530154,0.135674892857
12.3206884014,0.567853258065
16.1501124462,0.483538
16.4234150966,0.364766782609
14.6480345376,0.266804521739
12.2139696587,0.136014027027
11.3142857143,0.1602634
8.58827160494,0.11330008
8.57716049383,0.120517266667
10.682532418,0.168592444444
7.91540616246,0.1753349
8.67536231884,0.250973828571
16.3656387665,0.267063583333
14.4232506728,0.275744352941
16.4339661845,0.572332
11.5084367246,0.401876478261
24.0119570496,0.554770068966
14.0247250894,0.601016714286
9.46532338308,0.428635214286
14.9227073619,0.545607833333
8.04121274409,0.392818764706
12.0442237501,0.511895521739
8.04257703081,0.3828526
17.1090763052,0.480142294118
16.8520773344,0.200632047619
14.4353595256,0.214672086957
14.282835877,0.310588818182
15.3235310498,0.63580396
17.5499233156,0.357241074074
20.3348066541,0.322165133333
16.2894352159,0.302912058824
17.6897421203,0.44758759375
7.64877192982,0.0879599565217
12.9439687025,0.20017225
13.0972090374,0.388622
9.9010989011,0.297397730769
16.4454892506,0.663971375
22.6007609824,0.551063954545
12.4963662791,0.31300125
15.6761002031,0.4318884
15.0959665481,0.465919793103
15.7765005537,0.471419
12.0269053248,0.317696542857
15.4703899487,0.366169390244
11.876818816,0.301987178571
13.9151562839,0.400407571429
12.227715946,0.2053401
10.8023779499,0.194334555556
12.8683986774,0.273704222222
17.2478158651,0.42013416
11.9320570832,0.323464547619
13.4870361446,0.429869033333
12.3135100709,0.367336428571
16.7567925048,0.283932129032
12.165374677,0.224394466667
11.5426798101,0.191225219512
3.74025974026,0.285115615385
12.9842643588,0.3031
15.7706882489,0.475740875
12.4842701937,0.236201074074
13.5300479543,0.54542925
9.91822222222,0.154262137931
13.346740213,0.423788730769
12.3785714286,0.381827136364
13.5930449902,0.189719777778
20.2936398381,0.489469857143
12.2111532504,0.29107
14.8327194292,0.17891308
13.2625249684,0.367190842105
21.4998288341,0.55025675
