voronoi_numTerminalPoints,transError.std.mean
117,0.597974409091
82,0.3833542
82,0.198447578947
31,0.12269
48,0.153758035714
92,0.443964518519
189,0.531760416667
136,0.402073772727
76,0.30601326087
59,0.133319189189
57,0.194677542857
39,0.11035772
42,0.139761666667
60,0.178360027027
41,0.2198439
36,0.243437428571
108,0.256086724138
135,0.338521882353
107,0.583932391304
63,0.325802619048
168,0.59423269697
85,0.577431384615
95,0.38375874359
154,0.698436384615
70,0.3659623
65,0.690604043478
43,0.404276533333
119,0.441453846154
110,0.237735884615
137,0.225124575758
138,0.256219483871
97,0.65674012
224,0.358577384615
204,0.362996384615
145,0.287370933333
171,0.50726
40,0.0964399411765
108,0.236416833333
112,0.35981112
54,0.273577115385
153,0.702296269231
117,0.558222807692
66,0.282527217391
105,0.292004974359
137,0.441571769231
131,0.501131740741
93,0.346335935484
85,0.466183297297
87,0.309707785714
125,0.503770083333
72,0.218116833333
88,0.1932868
74,0.310407555556
125,0.50208644
87,0.29558275
112,0.442420407407
68,0.337067487179
95,0.286365322581
87,0.19540578125
85,0.171382926829
9,0.327402357143
62,0.287927933333
125,0.466749133333
72,0.224714148148
118,0.483949818182
64,0.153626448276
108,0.380862583333
126,0.2900733125
111,0.203370592593
220,0.522405666667
94,0.237020576923
118,0.17280424
106,0.366907921053
309,0.789124346154

5-Fold RMSE:,0.120000841252,0.163127762007,0.119026352726,0.126925404738,0.126925404738
Average 5-Fold RMSE:,0.134657813854

5-Fold rsquared:,0.468163950664,0.035389479187,0.353851638806,0.150107265589,0.150107265589
Average 5-Fold rsquared:,0.275184027977
