voronoi_avg_shortest_path_length,rotError.std.std
12.5083333333,0.00570813314798
13.3569271611,0.00238204213415
12.912183908,0.00443794731193
5.78474576271,0.00221181244909
9.30294530154,0.00124875791759
12.3206884014,0.00692890029398
16.1501124462,0.00526352379524
16.4234150966,0.00916339305052
14.6480345376,0.00109827381314
12.2139696587,0.001820392131
11.3142857143,0.0115835540733
8.58827160494,0.00242628577179
8.57716049383,0.00881799279479
10.682532418,0.00156947572306
7.91540616246,0.00133593491358
8.67536231884,0.0033034977955
16.3656387665,0.00427790386373
14.4232506728,0.010818340273
16.4339661845,0.0073614093577
11.5084367246,0.0020421627691
24.0119570496,0.00882900353326
14.0247250894,0.0056069691509
9.46532338308,0.00964521917124
14.9227073619,0.0102373131119
8.04121274409,0.00694223066048
12.0442237501,0.00719629727175
8.04257703081,0.00729724936466
17.1090763052,0.00941862106525
16.8520773344,0.00165015637774
14.4353595256,0.00327309840264
14.282835877,0.00344135860057
15.3235310498,0.00431503222254
17.5499233156,0.00820748297377
20.3348066541,0.038374045582
16.2894352159,0.00800000789555
17.6897421203,0.00653686665775
7.64877192982,0.0030003076901
12.9439687025,0.00533292057631
13.0972090374,0.00671912860422
9.9010989011,0.00480609803905
16.4454892506,0.00899802736477
22.6007609824,0.00879950207474
12.4963662791,0.0034406223505
15.6761002031,0.00161564506
15.0959665481,0.00646094092521
15.7765005537,0.00512121237682
12.0269053248,0.00772600753931
15.4703899487,0.00810460207062
11.876818816,0.00596216482169
13.9151562839,0.00468461053166
12.227715946,0.00290363576381
10.8023779499,0.00727200671353
12.8683986774,0.00593740494427
17.2478158651,0.0031691424541
11.9320570832,0.00360718859354
13.4870361446,0.00760278416857
12.3135100709,0.00281495176744
16.7567925048,0.00295568783369
12.165374677,0.00587875703598
11.5426798101,0.00492444947089
3.74025974026,0.00274550707465
12.9842643588,0.00668196581096
15.7706882489,0.00693703706243
12.4842701937,0.00651974844058
13.5300479543,0.0105001485137
9.91822222222,0.00348419817228
13.346740213,0.00672065780498
12.3785714286,0.00427584456832
13.5930449902,0.0034764729288
20.2936398381,0.218382402573
12.2111532504,0.0062202472559
14.8327194292,0.00201918335413
13.2625249684,0.00303309851547
21.4998288341,0.00630615992045

5-Fold RMSE:,0.0117153775972,0.00795550587232,0.00785690277443,0.0540055238282,0.0540055238282
Average 5-Fold RMSE:,0.0173760465046

5-Fold rsquared:,-19.6790202777,-6.57303671407,-4.86136083751,-0.0814445802456,-0.0814445802456
Average 5-Fold rsquared:,-7.63740366378
