totalTime,transError.numSamples.std
7743.55652174,5234.2224285
5871.41333333,1068.57195671
2281.97894737,257.853455343
1354.59642857,141.850142792
1659.58214286,182.929460449
5198.54516129,3510.04999446
5477.86666667,3935.77212331
3536.62173913,4927.43898941
2830.96086957,363.803157271
1745.23513514,147.306005198
2208.06285714,2626.374729
1662.192,108.084781537
1609.00666667,1084.0791156
2145.56944444,183.153742003
2048.65333333,273.731419461
3052.23428571,642.991734482
3921.41666667,736.775631788
3581.27058824,1510.28589149
7052.875,14727.7449601
4358.37826087,2308.33572565
9060.99310345,9784.61316845
9315.98928571,8108.00744572
3083.37857143,2866.01159506
10953.65,25803.4507764
5282.52058824,2219.38941949
6047.27826087,8919.29941979
3020.41666667,1725.55951023
3506.38235294,3228.66340734
2408.40952381,308.046732032
2618.1826087,701.623265043
3122.75454545,12253.024445
5479.196,5103.87888822
4442.33333333,12190.977691
3697.00666667,10206.0904135
3580.12352941,1947.88730019
5922.8125,4006.02426321
1650.44782609,189.939449112
3048.48125,338.663728636
3913.77777778,4015.83521781
2507.84230769,968.189122803
8273.10833333,5532.41528027
5024.57727273,1328.17120275
2868.95833333,4913.35122961
5079.84,897.213776087
5964.87241379,12782.2996962
5847.58333333,15884.6134701
2814.78857143,3217.32940007
5177.86829268,4350.15152402
2649.53928571,1687.4634671
7299.80714286,2927.87105563
2228.52666667,383.599850828
2415.84444444,379.749169978
3423.01111111,1917.94562562
6119.592,2174.75877982
2439.62142857,1102.42140417
4293.42333333,2925.49410622
3703.52857143,3355.85891523
3426.39032258,490.102011085
2134.64666667,175.644666554
1896.65609756,473.088895362
4176.48846154,617.028443908
2596.04,1136.24840985
5151.05,4289.42952164
2637.14444444,803.781894131
5440.36666667,1881.63948857
1954.06206897,316.936671506
4110.29615385,2151.72678867
3868.05454545,6754.77336762
2386.22592593,350.849437575
7405.83571429,3895.98161441
2968.16428571,9293.22106863
2600.284,257.78020405
5058.65263158,1433.91482635
7124.93333333,4998.19879432
