roomPerimeter,transError.std.mean
1588.62791478,0.597974409091
1351.09384402,0.3833542
458.622966465,0.198447578947
125.926169628,0.12269
302.601396954,0.153758035714
501.062394277,0.443964518519
1837.42341771,0.531760416667
688.861804167,0.402073772727
662.793955846,0.30601326087
345.129490021,0.133319189189
456.293929549,0.194677542857
315.925559425,0.11035772
243.357074819,0.139761666667
409.663330218,0.178360027027
203.831915727,0.2198439
608.510749633,0.243437428571
811.724322072,0.256086724138
789.405453777,0.338521882353
498.214112703,0.583932391304
349.485622363,0.325802619048
623.087494685,0.59423269697
506.227250231,0.577431384615
469.640967896,0.38375874359
470.629120514,0.698436384615
343.406315926,0.3659623
349.626511091,0.690604043478
503.178792264,0.404276533333
824.277775057,0.441453846154
481.48305766,0.237735884615
859.077312371,0.225124575758
1023.76949412,0.256219483871
1483.77049838,0.65674012
1208.95867135,0.358577384615
1173.67459887,0.362996384615
537.162909983,0.287370933333
845.005713505,0.50726
279.62861162,0.0964399411765
780.915742482,0.236416833333
909.128599512,0.35981112
623.395444333,0.273577115385
787.160481335,0.702296269231
551.960813093,0.558222807692
655.096395443,0.282527217391
1086.4876646,0.292004974359
1357.05101607,0.441571769231
1113.23214774,0.501131740741
636.640571297,0.346335935484
883.283838598,0.466183297297
638.505269241,0.309707785714
1290.51989442,0.503770083333
474.810346145,0.218116833333
502.295701425,0.1932868
687.882051882,0.310407555556
1293.11063322,0.50208644
602.61103687,0.29558275
864.15979835,0.442420407407
846.661098224,0.337067487179
687.49670878,0.286365322581
454.8062828,0.19540578125
406.40042891,0.171382926829
865.683726415,0.327402357143
580.17017166,0.287927933333
551.429068269,0.466749133333
620.854347876,0.224714148148
651.012500721,0.483949818182
367.406975129,0.153626448276
1075.51367261,0.380862583333
533.159488544,0.2900733125
377.956377889,0.203370592593
747.238694267,0.522405666667
900.193877884,0.237020576923
496.333168951,0.17280424
1394.54206022,0.366907921053
837.315270419,0.789124346154

5-Fold RMSE:,0.104797349101,0.158187867167,0.191301387928,0.109175524236,0.109175524236
Average 5-Fold RMSE:,0.140296292676

5-Fold rsquared:,-0.049273827087,0.244405663662,0.176840054565,-0.0578664561679,-0.0578664561679
Average 5-Fold rsquared:,0.100363891847
