voronoi_std_eigenvector_centrality,rotError.mean.std
0.061688422116,0.00314194787486
0.0628848579041,0.000529720236435
0.0735873626594,0.00274200687267
0.122421627337,0.000868010041646
0.100010706049,0.000988470995105
0.0665140899304,0.00396421114784
0.0499869171086,0.00305267434636
0.0583048887054,0.00323725683059
0.0772599538281,0.00162224709611
0.092355006202,0.00122251686463
0.0942375781658,0.00481593435646
0.107306514034,0.00139556645188
0.107707055274,0.00295561424787
0.0906409739223,0.000970277349218
0.104297507721,0.00087903722649
0.115439442184,0.00234359606884
0.0650409083878,0.00196300121238
0.0583229555488,0.00475371639426
0.0594842394656,0.00347532974758
0.0788215763143,0.00196074084985
0.0480134270942,0.00290945535533
0.0633224148962,0.0031687609811
0.0695045297866,0.00691864528074
0.0539293297254,0.00176297243951
0.0795172592942,0.00288446249643
0.0794001997108,0.00193137045088
0.103601683322,0.00350567334933
0.0621418524861,0.0101955133655
0.0664741323194,0.00189316660463
0.0586477113224,0.00409306542765
0.0588844988291,0.0021898122043
0.0718074587629,0.00268365863701
0.0433166383751,0.00416085194839
0.0480981747221,0.00454871802084
0.0571208297746,0.00641385431356
0.0527148108833,0.00357712486121
0.108039224395,0.00149199568169
0.0670363744304,0.00373159733983
0.064562611159,0.00227211409784
0.095602752891,0.00284573492967
0.0559140808964,0.00416717640221
0.057696329759,0.00429998156474
0.0863325328339,0.00262143524665
0.0684244190537,0.0015716058183
0.0595416486538,0.00295077555546
0.0570370754118,0.00347412036809
0.0701124270704,0.00393376291854
0.0655147896749,0.00199420279203
0.0741480740915,0.00317220657184
0.0598781678858,0.00212895982035
0.0814587853061,0.00283126115696
0.0716576654504,0.00452986510634
0.0817727657324,0.00169591170353
0.0609360751897,0.00167382816322
0.0756944120562,0.00380101619562
0.0625710750276,0.00567736820441
0.0778171239841,0.00200585427637
0.071506866971,0.00290650421563
0.0754874067928,0.00604227499064
0.0768360610148,0.00633767378436
0.183177866246,0.00090005519672
0.0882860014571,0.00296056940863
0.0623255741929,0.00379557550738
0.0811425974437,0.0018376947053
0.063736397957,0.00342684333818
0.0876523795269,0.0018378217927
0.0655788298353,0.0038392713065
0.0585601819606,0.00265952798602
0.0666331321729,0.00290145318257
0.046391247244,0.127889138475
0.0702204048489,0.00273066403156
0.0626679442345,0.00140772643706
0.0665682795308,0.00163527502515
0.0393741635952,0.00529794026363

5-Fold RMSE:,0.00372803152894,0.0029126511696,0.0320679533968,0.00427198006865,0.00427198006865
Average 5-Fold RMSE:,0.00932557876123

5-Fold rsquared:,-32.6620978143,-11.8462994031,-0.0474538631668,-0.673760877848,-0.673760877848
Average 5-Fold rsquared:,-9.67002315943
