topology_std_eigenvector_centrality,transError.mean.mean
0.10756347235,0.494097045455
0.122312884505,0.347489733333
0.1677582343,0.178033842105
0.126523822532,0.111519571429
0.134659649123,0.135674892857
0.0953368680058,0.500454518519
0.10463312949,0.483538
0.143314542052,0.314663090909
0.155800946802,0.266804521739
0.136238783067,0.136014027027
0.12070283799,0.1602634
0.154249695615,0.11330008
0.144335610656,0.120517266667
0.122088537902,0.168670918919
0.115471578888,0.1753349
0.126969125396,0.250973828571
0.149197272515,0.255138206897
0.0976310729378,0.275744352941
0.0929410616606,0.550894956522
0.129587592,0.348672047619
0.0976912934536,0.556707151515
0.112134596259,0.560622653846
0.108435380695,0.375646230769
0.116999705628,0.493396230769
0.132839614937,0.349249866667
0.127039153774,0.511895521739
0.120678590464,0.3828526
0.118775976121,0.376691423077
0.122166059236,0.2061935
0.11397801196,0.234490727273
0.112661742233,0.250467741935
0.133711411098,0.63580396
0.0795638641065,0.298866
0.106549735087,0.263492076923
0.111420287448,0.279235933333
0.0928921269199,0.469986628571
0.132185619966,0.0827919117647
0.122766639694,0.224303125
0.105912295049,0.36068872
0.133073753052,0.297397730769
0.114101280324,0.687380423077
0.109405113251,0.594765692308
0.12661037708,0.276685391304
0.120475441694,0.26799774359
0.11078077306,0.394348115385
0.108512198276,0.407328592593
0.13417553378,0.301939870968
0.128133402293,0.337777675676
0.131768090649,0.301987178571
0.130350497196,0.381142583333
0.129026999341,0.2053401
0.133089510306,0.16422708
0.14421463787,0.273704222222
0.104515098912,0.42013416
0.123327189632,0.315128875
0.129278231027,0.391206259259
0.136984666563,0.319272923077
0.119071453185,0.283932129032
0.123020874141,0.19405875
0.133127955687,0.191225219512
0.121745985772,0.287816464286
0.125418567606,0.3031
0.113860325594,0.4451378
0.122025009105,0.236201074074
0.11116785633,0.513622636364
0.124194319488,0.154262137931
0.0963975736058,0.395215916667
0.105943592175,0.2822633125
0.130288075133,0.189719777778
0.105212691271,0.513207166667
0.12417994054,0.240103076923
0.1242813404,0.17891308
0.113850442469,0.367190842105
0.0983045532532,0.626637846154

5-Fold RMSE:,0.0762636615403,0.104738881162,0.14610876579,0.100970232238,0.100970232238
Average 5-Fold RMSE:,0.119356596137

5-Fold rsquared:,-1.45916299331,0.0458790228895,0.280789342738,0.0960715636779,0.0960715636779
Average 5-Fold rsquared:,-0.0782272549315
