topology_numBifurcationPoints,transError.std.std
20,0.210038240515
8,0.167837658831
12,0.230568556601
8,0.0888341978949
3,0.0536568207547
2,0.0531756045959
1,0.0388866547706
14,0.207135681695
4,0.204774691356
5,0.258492090208
5,0.0429963941514
3,0.0500640527086
5,0.160692173355
2,0.0364422115207
9,0.115579807708
3,0.0370592039719
4,0.0491585794691
1,0.0890782760547
9,0.0933187599678
0,0.138087316178
17,0.283472780901
4,0.155756377989
6,0.431148459783
5,0.301796672041
9,0.15137538147
12,1.02365065259
1,0.167680135625
2,0.390698889866
1,0.145785206544
8,0.23374692862
12,0.0547581142166
10,0.0669920319093
7,0.391347667119
3,0.258741211908
28,0.35561401166
10,0.382246016935
15,0.155138806672
14,0.177945288381
3,0.0530782981644
10,0.150426578073
9,0.21615872905
3,0.0819226964463
15,0.293317732168
5,0.127652611947
5,0.221674636893
22,0.0853392946102
3,0.357301613152
13,0.453233740742
5,0.179230997901
3,0.236587447923
3,0.110170635227
12,0.172007018126
3,0.0621497895481
4,0.171951321611
7,0.126944549297
9,0.109794391941
4,0.107098494917
5,0.151433371273
3,0.185990376251
7,0.064450068138
4,0.0692099506632
3,0.075847820682
3,0.115451416633
5,0.129796983767
7,0.239664370415
4,0.105334107197
6,0.149483092715
1,0.0596299714663
3,0.141523549212
11,0.242795647909
3,0.0743403423368
5,0.355724934863
4,0.0562958637779
5,0.116143743091

5-Fold RMSE:,0.113147284335,0.095540786931,0.0815306796869,0.145012659422,0.145012659422
Average 5-Fold RMSE:,0.132673457722

5-Fold rsquared:,-0.539198983873,0.0360482579863,0.1717256711,-0.0171592250208,-0.0171592250208
Average 5-Fold rsquared:,-0.089498358793
