avg_betweenness_centrality,transError.mean.mean
0.0453083989501,0.507673043478
0.0506431441029,0.347489733333
0.0688565543818,0.178033842105
0.0824956165985,0.111519571429
0.0912411571598,0.135674892857
0.0512248343955,0.567853258065
0.0385499044432,0.483538
0.0533682183273,0.364766782609
0.0847704008547,0.266804521739
0.101026753682,0.136014027027
0.100138696255,0.1602634
0.0960540709486,0.11330008
0.0959134239725,0.120517266667
0.0856861275929,0.168592444444
0.0833181465357,0.1753349
0.112872975277,0.250973828571
0.0679895520642,0.267063583333
0.0467709082677,0.275744352941
0.055920167335,0.572332
0.0682366021076,0.401876478261
0.0536409255235,0.554770068966
0.0538211780553,0.601016714286
0.0425393134828,0.428635214286
0.0415603204832,0.545607833333
0.0510232807543,0.392818764706
0.072659366777,0.511895521739
0.0848503256724,0.3828526
0.0649559528436,0.480142294118
0.0723839147691,0.200632047619
0.0474747686416,0.214672086957
0.0472698785658,0.310588818182
0.076188994946,0.63580396
0.0313445517341,0.357241074074
0.0454936627156,0.322165133333
0.0511352348359,0.302912058824
0.0479590290814,0.44758759375
0.089848269322,0.0879599565217
0.0560749704341,0.20017225
0.0530579343746,0.388622
0.086418435933,0.297397730769
0.049189456212,0.663971375
0.0737227337282,0.551063954545
0.0905225691265,0.31300125
0.0702205751345,0.4318884
0.0510723425654,0.465919793103
0.0494197342933,0.471419
0.0589674081539,0.317696542857
0.0637462112276,0.366169390244
0.0632373186978,0.301987178571
0.0478339121627,0.400407571429
0.0796291911066,0.2053401
0.0541567842537,0.194334555556
0.0824194352595,0.273704222222
0.0622521680655,0.42013416
0.0650717683523,0.323464547619
0.0503509521959,0.429869033333
0.0720605736997,0.367336428571
0.0833692725123,0.283932129032
0.0656786745706,0.224394466667
0.0642846329887,0.191225219512
0.137012987013,0.285115615385
0.0982316750719,0.3031
0.0588473635416,0.475740875
0.0797518763449,0.236201074074
0.0519919002253,0.54542925
0.0719211469534,0.154262137931
0.0543909260484,0.423788730769
0.0407834101382,0.381827136364
0.0591222769494,0.189719777778
0.0419426953002,0.489469857143
0.058391423179,0.29107
0.0566914730706,0.17891308
0.0557387498564,0.367190842105
0.0321313931569,0.55025675
