[Exploration]
time_file_written    			= Thu Jun  8 13:04:59 2017
start_time           			= 6.400000000
end_time             			= 3915.900000000
exploration_time    			        = 3909.5
required_goals       			= 230
unreachable_goals                            = 45
travel_path_overall  			= 965.6
number_of_completed_auctions                 = 0
number_of_uncompleted_auctions               = 0
frontier_selection_strategy                  = 0
costmap_size                                 = 10
global costmap iterations                    = 2
explorer_local_costmap_height 		= 10
explorer_local_costmap_width 		= 10
move_base_local_costmap_height 		= 10
move_base_local_costmap_width 		= 10
move_base_raytrace_range 		= 5
move_base_obstacle_range 		= 5
explorer_raytrace_range 		= 5
explorer_obstacle_range 		= 5
complete             			= 1
