predictedFeature, predictor, avg 5-fold RMSE, avg 5-fold r^2 
allFeatures,voronoi_traversal_distance;topology_diameter;voronoi_numTerminalPoints;voronoi_nodes;topology_edges;topology_avg_shortest_path_length;topology_std_closeness_centrality;voronoi_avg_betweenness_centrality;roomPerimeter;voronoi_std_katz_centrality;voronoi_diameter;topology_std_betweenness_centrality;voronoi_density;topology_density;topology_numBifurcationPoints;area;numRooms;avgRoomPerimeter;topology_radius;voronoi_numBifurcationPoints;voronoi_avg_eigenvector_centrality;voronoi_avg_closeness_centrality;topology_avg_closeness_centrality;wallRatio;topology_std_eigenvector_centrality;perimeter;topology_nodes;voronoi_std_eigenvector_centrality;voronoi_avg_katz_centrality;avgRoomArea;topology_avg_betweenness_centrality;topology_std_katz_centrality;voronoi_avg_shortest_path_length;voronoi_std_closeness_centrality;voronoi_edges;topology_avg_katz_centrality;voronoi_std_betweenness_centrality;topology_avg_eigenvector_centrality;avgRoomWallRatio;voronoi_radius;voronoi_traversal_rotation,,
rotError.mean.mean,voronoi_traversal_distance;voronoi_nodes;roomPerimeter;perimeter;avgRoomArea,0.004102991452397613,0.7239509809485897
rotError.mean.std,avgRoomArea,0.0019638413929811823,0.013632913329640983
rotError.numSamples.mean,voronoi_traversal_distance;topology_diameter;voronoi_numTerminalPoints;voronoi_nodes;topology_edges;topology_avg_shortest_path_length;roomPerimeter;voronoi_diameter;topology_density;topology_numBifurcationPoints;area;numRooms;avgRoomPerimeter;topology_radius;voronoi_numBifurcationPoints;wallRatio;perimeter;topology_nodes;avgRoomArea;voronoi_avg_shortest_path_length;voronoi_edges;topology_avg_eigenvector_centrality;avgRoomWallRatio;voronoi_radius;voronoi_traversal_rotation,8080.023573853204,0.6798101348736968
rotError.numSamples.std,voronoi_traversal_distance;topology_diameter;voronoi_numTerminalPoints;voronoi_nodes;topology_edges;roomPerimeter;voronoi_diameter;topology_numBifurcationPoints;area;numRooms;avgRoomPerimeter;topology_radius;voronoi_numBifurcationPoints;wallRatio;perimeter;topology_nodes;avgRoomArea;voronoi_avg_shortest_path_length;voronoi_edges;avgRoomWallRatio;voronoi_radius;voronoi_traversal_rotation,1645.0749791901944,0.8067303883892324
rotError.std.mean,voronoi_traversal_distance;voronoi_nodes;roomPerimeter;perimeter;avgRoomArea;voronoi_traversal_rotation,0.0038725218622202794,0.772326634139634
rotError.std.std,voronoi_traversal_distance;area;wallRatio;perimeter;avgRoomArea;voronoi_edges,0.0017181442963597304,-0.09397203027109483
transError.mean.mean,voronoi_traversal_distance;voronoi_nodes;roomPerimeter;area;avgRoomPerimeter;voronoi_numBifurcationPoints;perimeter;avgRoomArea;voronoi_traversal_rotation,0.13467512566100298,0.8838882791810491
transError.mean.std,voronoi_traversal_distance,0.012355861669525191,0.758399941158249
transError.numSamples.mean,voronoi_traversal_distance;topology_diameter;voronoi_numTerminalPoints;voronoi_nodes;topology_edges;roomPerimeter;voronoi_diameter;topology_numBifurcationPoints;area;numRooms;avgRoomPerimeter;topology_radius;voronoi_numBifurcationPoints;wallRatio;perimeter;topology_nodes;avgRoomArea;voronoi_avg_shortest_path_length;voronoi_edges;avgRoomWallRatio;voronoi_radius;voronoi_traversal_rotation,8461.31113176411,0.7378262409081753
transError.numSamples.std,voronoi_traversal_distance;topology_diameter;voronoi_numTerminalPoints;voronoi_nodes;topology_edges;roomPerimeter;voronoi_diameter;topology_numBifurcationPoints;area;numRooms;avgRoomPerimeter;topology_radius;voronoi_numBifurcationPoints;wallRatio;perimeter;topology_nodes;avgRoomArea;voronoi_avg_shortest_path_length;voronoi_edges;avgRoomWallRatio;voronoi_radius;voronoi_traversal_rotation,1928.1149946140206,0.8018431261867558
transError.std.mean,voronoi_traversal_distance;voronoi_nodes;avgRoomPerimeter;voronoi_numBifurcationPoints;perimeter;avgRoomArea;voronoi_traversal_rotation,0.20763002258661337,0.8116946590422917
transError.std.std,voronoi_traversal_distance;voronoi_nodes;roomPerimeter;voronoi_diameter;area;avgRoomPerimeter;voronoi_numBifurcationPoints;wallRatio;avgRoomArea;voronoi_traversal_rotation,0.02053289517623102,0.7398467830143407
