dataset, Voronoi distance, Voronoi rotation, totalLen, totalRot, transError.mean.mean, transError.mean.std, rotError.mean.mean, rotError.mean.std
11-0,467.9583933426243,142.797636875,751.6638684266035,492.9183933660872,0.6032494583333333,0.08064198963628233,0.03640675000000001,0.01266811461981748
11-4,835.5625758293434,315.751094187,879.7457125043063,508.9438628367739,0.5191198867924528,0.05242897758195434,0.026278245283018867,0.002543125954230644
130604-Plan_updated,837.3795500298131,398.099932842,904.0637767070992,556.4176846241827,0.5705172571428572,0.08064452064438382,0.02928648571428572,0.004803741603443409
24-1,1026.2924094293276,274.851451092,1658.023129640381,655.0083738126488,1.0056348750000002,0.06838006003111854,0.03220421875,0.004083471223530102
324-Elm-Furn-Plan_updated,629.6039065676443,323.202257539,666.4983853770151,485.0274630894739,0.5182395000000001,0.06833873285247231,0.024927315789473686,0.0033535156580368104
41-0,1403.4685672548653,237.928231852,2570.8780289917254,867.2541056956168,1.4899029444444443,0.10682806940046354,0.039537611111111114,0.005687128333535191
41-1,1443.5831536816993,218.754687535,2381.5261698376466,779.4071818239453,1.3571632727272727,0.08318520961750014,0.040187909090909094,0.0063676571466427185
41-2,2683.3904651343673,499.679439246,3581.070867144812,1459.8735444209308,1.947881851851852,0.14767082353083277,0.04909774074074074,0.004381113342287531
43-2,859.6327961774047,202.61586392,1805.1330973388685,736.0261805144786,0.9023615454545453,0.09313064379126348,0.039705090909090905,0.004014670924010979
44-1,1061.2424537735844,193.837802558,2744.2601602940817,969.4795945752498,1.2489561111111112,0.0957262351876949,0.04113200000000001,0.005140533089519456
48-3,1340.5820055066793,288.507445152,1951.5824048416737,718.730535771435,1.075467442622951,0.11600254966071949,0.031835852459016385,0.0057379083406562574
54-3,368.5209775939213,147.625909896,1087.829322416624,416.4567408647917,0.5675892352941175,0.059964419186841325,0.023604,0.003102818301442208
7A-2,450.10327703100694,142.066537508,576.2403178855466,364.2424916440506,0.5205634285714285,0.07043669548951734,0.031982857142857146,0.01239070002359955
8-1,1513.5872626980392,355.645659761,2178.735659245667,911.0365335678727,1.1849001212121213,0.11455268708956527,0.04035248484848485,0.006363594782259532
9-00,945.9297589418651,228.910757078,1320.582060292179,551.1746395770556,0.9116866842105263,0.08445437453632187,0.0381188947368421,0.008475645784399197
9-2,1696.1225848616373,583.420914533,2893.494092691294,1270.5437433748289,1.2726345675675674,0.11403208882532608,0.03988075675675675,0.0031550169263725976
amazing-office-floor-plans-4-executive-office-floor-plans-3082-x-1900_updated,894.5885924634144,373.15448394,1142.0833867074423,754.2579855434261,0.5744827631578948,0.05121456431803371,0.03528884210526316,0.005084338421623364
autoSales_updated,253.09529016134942,130.35912452,214.03098888125126,180.35564698660417,0.22739666666666672,0.04142785842471368,0.017937102564102563,0.003332993178502192
awesome-cool-office-floor-plans-with-home-office-interior-offices-for-all-facilitiesconsultant_updated,852.7041917644887,398.212119516,1061.4319540214863,655.4356704762524,0.5512896,0.06625398552821811,0.033650566666666666,0.006841111550439413
battle_creekhs_2_updated,525.4347002179115,184.26767039,756.3200632779256,425.4933714978109,0.560297975,0.0670678460074153,0.0267196,0.004102536586064773
best-single-office-floor-plans-with-13_updated,595.0117608897857,264.08252119,648.935196559853,376.8930980054692,0.47744202985074635,0.0665084317608128,0.02386583582089552,0.0029387882800798655
Borchen4_updated,133.10201051793663,72.3563650818,74.50367770901826,109.71711412354152,0.08583220930232559,0.016818393919336056,0.011060116279069767,0.001792296113529291
bronxville_updated,761.308482419509,316.663949145,1290.8331097877124,635.719178662612,0.6616712702702703,0.08000108358578606,0.027709756756756757,0.004608169891794738
CivicMemories_updated,1301.201742956502,447.509475737,1732.2582904488777,853.1471392482637,0.8529260000000001,0.08206956418053289,0.03302295652173913,0.003453772801347395
ClassForAction_updated,631.8001582686626,315.208834345,911.0742280643269,518.0294204559082,0.5465737959183674,0.07848497357598878,0.02675581632653061,0.0029690029775245714
cunningham2f_updated,892.3305540859798,360.770721279,1516.5118325736119,760.7421488537002,0.7637325409836065,0.08206934654294516,0.03225506557377049,0.004730384682200986
E18-1,1423.4433936027538,393.549964273,1952.6263175071522,806.7077009096805,1.2645861379310348,0.10926174264162375,0.037879068965517244,0.0048838319320049645
E18-3,1470.633298918033,476.508151773,1992.2552690780915,936.6348585033438,1.1849816874999999,0.10247884084230027,0.03834489583333334,0.004354572746165726
E55-3,704.2870647486568,178.560984381,1060.856960689715,483.55601985560554,0.5503203783783783,0.07438201100467823,0.028471702702702703,0.005330278983950977
E56-3,1086.2505786891395,402.687919995,1587.1334188124488,750.3243842254177,0.9262577741935484,0.08734817174175101,0.03507164516129032,0.004883167926983645
E60-1,1124.0521297234493,311.935428914,1639.8394916651534,798.278927180175,1.019215375,0.09843953015327163,0.03683468749999999,0.0047118269574915154
executive-office-floor-plans-l-a622d60bb7a76a60_updated,988.9989239201753,621.500380047,1166.6420329374491,828.8851350501604,0.5809019166666667,0.08311641335780362,0.030937861111111107,0.0038969638691392226
FALAELEM2_updated,904.0557743567012,286.646004012,2187.659662407948,766.9207518525812,1.1374342727272726,0.06714366552458347,0.03427275757575758,0.0025837593591662078
first-choice-floor-plan-second-floor_updated,540.5836958981763,171.488140082,625.2823253582275,345.3115501025136,0.5269705925925926,0.07848707354564792,0.024705555555555557,0.003545084320507225
floor-1024x523_updated,1103.31383976918,562.489306351,1270.0113365777538,787.8402730804114,0.7108525135135135,0.10422620640407551,0.033315513513513514,0.006764168228051764
floorplanMAIN_updated,640.7611255313213,351.453185208,722.782817685526,500.4558557620595,0.3912202222222222,0.038849959355842546,0.026284055555555557,0.0046995137392928715
Franch1_updated,161.81352444898695,91.7352314532,128.52254334399672,153.42195553884994,0.16117432352941177,0.019219840217430634,0.014268529411764708,0.001600164370882201
freiburg79,319.56630583785477,122.206577678,386.4388524077259,238.98942348262275,0.3797592857142857,0.04962308677625851,0.018792499999999997,0.002469102171987681
henderson_high_school_updated,1035.3332160899097,441.608934353,1440.467663170068,663.4501918019621,0.8173320857142856,0.07942447643799609,0.030822799999999997,0.005359331812295793
herndon_updated,511.0106351767826,245.471844118,697.7706155033353,370.43264800370764,0.42005683720930237,0.05449107457613468,0.02313811627906977,0.0037358574322263736
Ideas_updated,1382.9994657714776,275.627581274,1620.9084354347858,783.9695018529221,1.1017626785714285,0.09004175211496274,0.04261614285714286,0.00899826329558847
indian_head_updated,630.1795221331023,217.399769029,1312.585389880499,644.080450975897,0.8452005333333333,0.05446104919893565,0.0340313,0.00596812046990787
lab_a,1178.4921330042048,328.364713518,1501.788729031291,865.8782446672216,0.9156934074074073,0.09231182309343705,0.04162137037037037,0.005784355863163562
lab_f,1266.8751200145311,459.811862319,1979.752977103823,952.9623999557758,1.0238482307692305,0.10667678401414525,0.037044230769230774,0.00454986777751831
lab_intel,728.3683801203324,226.851049569,1266.5254275183545,672.9932999708827,0.6801566341463415,0.09104226141066901,0.03498358536585366,0.005950206059049694
Lamuniere1_updated,106.07242663074213,70.3888641949,107.13601689397443,104.10623441476584,0.15396890909090907,0.03479811946840217,0.011422818181818183,0.0025675008477711913
Liselotte1_updated,254.10140211738812,123.800417553,211.8781464021029,171.55615877383704,0.26762375,0.05122664897968146,0.0154238125,0.0012825053469064955
Lower-Level_updated,2160.023452323488,617.72175471,2616.843534226444,1171.6242040553361,1.2011542222222222,0.13988908710232184,0.04084422222222222,0.0033541351960796463
MediaCache_updated,791.8274335560491,259.235500151,1080.7192749268818,537.5178957579527,0.6797245625,0.10235099293574829,0.030743125,0.00479013894468365
modern-office-building-floor-plan-and-office-building-floor-plan-by-realty-floorplans-in-central-illinois-14_updated,587.0963598827541,167.645659414,692.4960950121233,334.74818919015024,0.4659333636363635,0.07766089410399166,0.023825254545454547,0.0031675417553001964
modern-office-floor-plan-1_updated,696.5816554509928,330.034919192,714.7129035432984,476.6522636060697,0.5023457037037037,0.06650002386511118,0.023914814814814816,0.002933887751103784
N10-1,585.1814252128581,180.209895744,915.074472948484,443.0508799203483,0.5493179791666667,0.08798701583270908,0.02853829166666667,0.004972149254255872
N10-2,455.29529697913256,139.174438239,688.0660882134565,351.30407964623936,0.5160698529411765,0.06549375530947359,0.026748499999999998,0.005478825304806518
N51-3,1653.0423113514105,489.762523667,2131.0412173393293,1002.2128876393068,1.2384059583333331,0.10994894802304052,0.03744379166666666,0.005786948447290439
Neulengbach1_updated,1138.1142575167655,356.932278712,1419.7230047168903,781.1456666853762,0.9230769285714286,0.08329368852222692,0.03458671428571429,0.006307579696892705
Neulengbach2_updated,1496.991569029015,557.847336252,1695.106903509701,868.122291339867,0.9521757222222222,0.10196968603996732,0.03537816666666666,0.004001157822014356
NewUrban_updated,1200.7227552515326,340.111338406,1712.5339245431137,884.1201882778695,0.979490294117647,0.11840965831504643,0.041462235294117654,0.006316601923994048
NLB,1424.3352088614163,515.155816848,2396.8474822286717,1049.8062813674394,1.215760806451613,0.08793622512106818,0.03721145161290322,0.0037914422469786904
NW13-0,1453.7366549795893,343.364413465,2003.3124805300013,944.723366175235,1.3577412,0.11340029760966235,0.0435139,0.005923994690240699
NW14-4,1123.5652172723687,305.381141884,2089.556893925054,781.4959643063584,1.1250932333333334,0.09526596631525283,0.033039599999999995,0.004127620489660679
NW17-0,1534.718173373171,416.652981427,1968.104773604854,1038.2877641152202,1.5204070909090908,0.11251636308955613,0.042836318181818184,0.005154148923540438
office-building-floor-plans-recently-third-floor-plan_updated,1896.5174357083647,882.412115919,2649.4182624870805,1545.590381830035,1.3989215833333335,0.11709895956658363,0.04316958333333334,0.003261475035888245
office_a,1080.709352499745,277.71002236,2580.28648095681,837.452219066923,1.104891787878788,0.10254082071583111,0.033959090909090904,0.003527534793451124
office_b,646.25117199494,303.00391238,610.5416770159999,473.893087862081,0.4598871470588235,0.0758086889894681,0.024023264705882355,0.0025027096410846095
office_c,1377.6650716565823,231.937135787,3282.6974936812403,962.2114005785846,1.2067117,0.10860005828179838,0.035224,0.0040453218660571385
office_d,594.2697177356678,223.000648485,1293.433522605092,600.2197470744105,0.6710243000000001,0.05492721055551611,0.031888466666666664,0.006773218559066944
office_f,1023.7519582293928,263.899719496,1447.1122092567598,669.4315384498609,1.0394065000000001,0.05969381030886851,0.034766411764705886,0.0058172864005259315
office_h,501.72666479222914,185.16040733,678.4439329171622,429.3607881970845,0.5248021333333335,0.05662016567721747,0.026106666666666663,0.003582025212393434
plans2_updated,335.71324018187687,164.168805265,619.2709615156408,365.537709899195,0.47581217500000006,0.043953561830008446,0.023959475,0.004037618883621261
putnam_junior_high_updated,1270.9975607249105,406.864345779,1903.2408037432324,831.10198847039,0.8320814615384615,0.09822440806690909,0.035996,0.005026632955746309
Rocchio_floorplan_updated,839.6654141039857,325.583209961,1548.3789402276564,667.664420581279,0.7306858604651163,0.07899958764348708,0.030870883720930237,0.0034009850570933422
RomainRolland1_updated,531.3904642528684,201.440983073,769.8657354356604,497.23496175319747,0.6093918181818182,0.06363220327764034,0.03147209090909091,0.009493668928238875
Rustic_updated,249.4098553671794,139.563097123,213.58462919960033,192.90827980649655,0.22763843589743588,0.03445034056531813,0.017998589743589744,0.0031410047528347843
Sabadell1_updated,175.16157708831946,124.176524827,231.154973822987,208.75244574998737,0.24004483333333337,0.04347426313125451,0.01949245238095238,0.004611057905691187
Sabadell2_updated,286.56524528040967,125.788143027,406.80238111344227,228.31484214802177,0.34298870454545455,0.052122506185201256,0.019348795454545455,0.003034679401814551
Sabadell3_updated,195.02660165325653,100.694065881,234.83331812981754,207.09729301036228,0.2480882105263158,0.05083129821030693,0.01925942105263158,0.003610673431609708
scuola_sconosciuta_3_updated,417.00865745254725,174.298551048,493.31872534761976,289.2251952813754,0.3928847222222222,0.04960481664875068,0.023690000000000003,0.0036897165202763207
scuola_sconosciuta_updated,495.6888794160203,236.563311317,399.2749957128387,239.50419356860658,0.29911648888888887,0.05693539282325858,0.019071555555555557,0.004072093993433603
scuola_secondaria_i_grado_mera__updated,165.08778709300032,112.830833207,133.4070670996114,114.1570607340523,0.13030160714285713,0.03178498049881341,0.011492696428571429,0.003394117010776792
Sicurezza_1_updated,486.2353874354003,204.156578717,642.7902236338266,381.03570854011156,0.4947517826086957,0.051137027215423875,0.021942782608695654,0.0019818084616904773
sidneyriver_updated,1200.3007441628656,384.16868079,1628.7086472157114,764.5527393867243,0.9579145277777779,0.10884232901860229,0.03265333333333333,0.0052560969782191455
south_mountain_school_1_updated,778.750209601832,290.837964376,1150.287975171976,552.1285216018256,0.8114117333333333,0.06977620174717324,0.03125763333333334,0.0054195957320531665
south_mountain_school_2_updated,815.7412794801585,241.046824794,1117.9118069640103,522.1730801290342,0.6751338846153845,0.08149354489695058,0.028754192307692304,0.0066830782406545304
Susteinable_updated,775.1264541807968,306.232640231,1203.2028851169707,631.8490022240355,0.6938262978723404,0.06345871189186794,0.03018523404255319,0.0030460114360632896
UMTD_School_Floorplan_updated,510.495334652962,228.846914713,912.1322716367877,518.2635769027464,0.5303782608695652,0.0657868781063171,0.026540956521739132,0.0032110709168270096
Ursy1_updated,423.67066087201255,169.674199734,334.88319490336,237.91917851743872,0.3138954074074074,0.04568718026711591,0.020676481481481487,0.004623236888126233
Valleceppi_P0_updated,474.93288140168767,221.346577029,392.6988462886491,278.79517067953196,0.31324368085106385,0.04979437441954979,0.021077170212765957,0.0031333088167686857
Valleceppi_P1_updated,372.08603813997064,182.387684298,323.90541077468765,263.8816544816675,0.28338015909090913,0.05569626304134008,0.020350749999999997,0.00288341081269609
VarzeaPaulistaFDE1_updated,401.7088610344233,101.938126227,544.2536987701152,245.11461639953978,0.38377500000000003,0.05270936657106193,0.01904990322580645,0.006274352995071586
VarzeaPaulistaFDE2_updated,398.64879183690647,109.364412791,699.6344969126262,327.46296426184153,0.4771534999999999,0.055046977521477046,0.024296857142857148,0.004275027059627134
Vieilley1_updated,969.4323492458459,248.822360631,1129.6191463952664,517.8472058458531,0.6092161111111111,0.07997799777194899,0.03288166666666667,0.007107160558197627
Vipiteno1_updated,840.8218512997969,394.2019014,1020.7539463067724,542.5669983229144,0.6049447400000001,0.08351910558089329,0.02563924,0.0031457699633634997
Vipiteno2_updated,398.59340593135687,222.885485102,422.59913849159017,279.17645142909333,0.4095175416666667,0.05875413426090341,0.02591758333333333,0.010679869864674799
W4-0,1912.8938253788874,507.528128864,2266.843856514589,1186.0584419410493,1.6294668695652175,0.09942652272179794,0.044565913043478254,0.0037561593464490862
W8-1,1111.320216453997,256.310305127,1514.9668952556542,792.186350215288,0.9856833249999999,0.09726108468611366,0.040052025000000005,0.007240945540768484
west_asheville_updated,772.5662119286159,215.021800877,1274.5314652677337,492.2634957321889,0.7884992142857145,0.07506329818529214,0.02928642857142857,0.004793227286111783
ZELLENBOROS_GRUPPENZONE_updated,666.1109292667417,354.095400755,822.3687692511411,586.9178206283227,0.6711868723404255,0.08659257967045272,0.03145159574468085,0.0065516610031661
FALAELEM1_updated,1449.4460644711028,402.180219217,2379.5157075649286,865.7277156417972,1.1974258611111113,0.10980069348221418,0.03676319444444445,0.005726596714839764
office1_fs_updated,673.3519816641764,186.969683793,775.363834452409,388.21348460283264,0.4534851142857143,0.06421022492352597,0.02631942857142857,0.0063205895262375385
SKF_FloorPlan_updated,525.8422058500896,227.920641747,577.0012302608127,378.13110090536736,0.48434894285714275,0.057648404286151686,0.02424002857142857,0.0024996727155565707
