predictedFeature, predictor, avg 5-fold RMSE, avg 5-fold r^2 
allFeatures,voronoi_traversal_distance;topology_diameter;voronoi_numTerminalPoints;voronoi_nodes;topology_edges;topology_avg_shortest_path_length;topology_std_closeness_centrality;voronoi_avg_betweenness_centrality;roomPerimeter;voronoi_std_katz_centrality;voronoi_diameter;topology_std_betweenness_centrality;voronoi_density;topology_density;topology_numBifurcationPoints;area;numRooms;avgRoomPerimeter;topology_radius;voronoi_numBifurcationPoints;voronoi_avg_eigenvector_centrality;voronoi_avg_closeness_centrality;topology_avg_closeness_centrality;wallRatio;topology_std_eigenvector_centrality;perimeter;topology_nodes;voronoi_std_eigenvector_centrality;voronoi_avg_katz_centrality;avgRoomArea;topology_avg_betweenness_centrality;topology_std_katz_centrality;voronoi_avg_shortest_path_length;voronoi_std_closeness_centrality;voronoi_edges;topology_avg_katz_centrality;voronoi_std_betweenness_centrality;topology_avg_eigenvector_centrality;avgRoomWallRatio;voronoi_radius;voronoi_traversal_rotation,,
rotError.mean.mean,voronoi_traversal_distance;roomPerimeter;avgRoomPerimeter;wallRatio;perimeter;avgRoomArea;voronoi_traversal_rotation,0.0021189806963098344,0.29844723731383127
rotError.mean.std,,0.001592358736945968,-0.4021922411808677
rotError.numSamples.mean,voronoi_traversal_distance;topology_diameter;voronoi_numTerminalPoints;voronoi_nodes;topology_edges;topology_avg_shortest_path_length;roomPerimeter;voronoi_diameter;topology_numBifurcationPoints;area;numRooms;avgRoomPerimeter;topology_radius;voronoi_numBifurcationPoints;wallRatio;perimeter;topology_nodes;avgRoomArea;voronoi_avg_shortest_path_length;voronoi_edges;avgRoomWallRatio;voronoi_radius;voronoi_traversal_rotation,1479.4710907036138,0.3660078242269618
rotError.numSamples.std,voronoi_traversal_distance;topology_diameter;voronoi_numTerminalPoints;voronoi_nodes;topology_edges;topology_avg_shortest_path_length;roomPerimeter;voronoi_diameter;topology_numBifurcationPoints;area;numRooms;avgRoomPerimeter;topology_radius;voronoi_numBifurcationPoints;topology_avg_closeness_centrality;wallRatio;perimeter;topology_nodes;avgRoomArea;voronoi_avg_shortest_path_length;voronoi_edges;avgRoomWallRatio;voronoi_radius;voronoi_traversal_rotation,2664.8384481370585,-0.30153686888374776
rotError.std.mean,voronoi_traversal_distance;voronoi_nodes;roomPerimeter;avgRoomPerimeter;voronoi_numBifurcationPoints;wallRatio;perimeter;avgRoomArea;avgRoomWallRatio;voronoi_traversal_rotation,0.0023644520972117378,0.3825399082582404
rotError.std.std,voronoi_traversal_distance;area;avgRoomArea,0.0031297473001427683,0.006192295170848627
transError.mean.mean,voronoi_traversal_distance;voronoi_numTerminalPoints;voronoi_nodes;roomPerimeter;voronoi_diameter;avgRoomPerimeter;voronoi_numBifurcationPoints;wallRatio;perimeter;avgRoomArea;avgRoomWallRatio;voronoi_traversal_rotation,0.06103869321092481,0.8166405818261868
transError.mean.std,voronoi_traversal_distance;avgRoomPerimeter;voronoi_edges,0.014842908987710682,0.6237911413565926
transError.numSamples.mean,voronoi_traversal_distance;topology_diameter;voronoi_nodes;topology_edges;topology_avg_shortest_path_length;roomPerimeter;voronoi_diameter;topology_numBifurcationPoints;area;numRooms;avgRoomPerimeter;topology_radius;voronoi_numBifurcationPoints;topology_avg_closeness_centrality;wallRatio;perimeter;topology_nodes;avgRoomArea;voronoi_avg_shortest_path_length;voronoi_edges;avgRoomWallRatio;voronoi_radius;voronoi_traversal_rotation,1514.9216217978737,0.18100856919181796
transError.numSamples.std,voronoi_traversal_distance;topology_diameter;voronoi_numTerminalPoints;voronoi_nodes;topology_edges;topology_avg_shortest_path_length;roomPerimeter;voronoi_diameter;topology_numBifurcationPoints;area;numRooms;avgRoomPerimeter;topology_radius;voronoi_numBifurcationPoints;wallRatio;perimeter;topology_nodes;avgRoomArea;voronoi_avg_shortest_path_length;voronoi_edges;avgRoomWallRatio;voronoi_radius;voronoi_traversal_rotation,2658.4503754594725,-1.601373742887056
transError.std.mean,voronoi_traversal_distance;voronoi_nodes;area;avgRoomPerimeter;voronoi_numBifurcationPoints;avgRoomArea,0.07965245576760135,0.7397249555186551
transError.std.std,voronoi_traversal_distance;voronoi_edges,0.06349766788920112,0.35707231916619475
