[Exploration]
time_file_written    			= Thu Jun  8 05:53:35 2017
start_time           			= 6.400000000
end_time             			= 4690.900000000
exploration_time    			        = 4684.5
required_goals       			= 309
unreachable_goals                            = 17
travel_path_overall  			= 1158.15
number_of_completed_auctions                 = 0
number_of_uncompleted_auctions               = 0
frontier_selection_strategy                  = 0
costmap_size                                 = 10
global costmap iterations                    = 1
explorer_local_costmap_height 		= 10
explorer_local_costmap_width 		= 10
move_base_local_costmap_height 		= 10
move_base_local_costmap_width 		= 10
move_base_raytrace_range 		= 5
move_base_obstacle_range 		= 5
explorer_raytrace_range 		= 5
explorer_obstacle_range 		= 5
complete             			= 1
