x, y, Pearson, P-Value
area,sqrt(totalLength.std),0.461902298861,0.0619604760764
log(area),log(totalLength.std),0.461806808765,0.0620214909955
log(perimeter),sqrt(totalTime.std),0.452923925289,0.0678942917078
avgRoomArea,log(totalTime.std),-0.444899970652,0.0735421574666
sqrt(area),log(totalLength.std),0.444845447273,0.0735816740719
log(area),totalTime.std,0.428862387421,0.0858490034963
log(avgRoomPerimeter),log(totalTime.std),-0.428352116376,0.0862635402609
sqrt(perimeter),sqrt(totalTime.std),0.418223771386,0.0947939356785
area,log(totalLength.std),0.417030194425,0.0958376091616
log(perimeter),log(totalTime.std),0.412807677749,0.0995958974296
sqrt(area),totalTime.std,0.407157486931,0.104787933556
log(area),sqrt(totalTime.std),0.404940872196,0.106876393293
sqrt(avgRoomArea),log(totalTime.std),-0.401946011343,0.109744760908
log(perimeter),totalTime.std,0.396530051762,0.115069499859
sqrt(area),sqrt(totalTime.std),0.393894202421,0.117725676368
avgRoomWallRatio,sqrt(totalLength.std),-0.387574502152,0.124268885998
sqrt(perimeter),log(totalTime.std),0.385970216552,0.12596951655
perimeter,sqrt(totalTime.std),0.379892658951,0.132559167151
area,totalTime.std,0.371707316351,0.141806542213
area,sqrt(totalTime.std),0.36897940683,0.144984513558
avgRoomPerimeter,log(totalLength.std),-0.367919028088,0.14623291505
avgRoomWallRatio,log(totalLength.std),-0.365614607466,0.1489712915
avgRoomWallRatio,totalLength.std,-0.364815909046,0.149928519094
sqrt(perimeter),totalTime.std,0.358630740447,0.157483739639
perimeter,log(totalTime.std),0.352440531384,0.165299625549
log(avgRoomArea),log(totalTime.std),-0.350811096849,0.167399649991
sqrt(avgRoomWallRatio),sqrt(totalLength.std),-0.326645850313,0.200664083035
sqrt(avgRoomWallRatio),log(totalLength.std),-0.324762880836,0.203424832977
perimeter,totalTime.std,0.319462448392,0.211328616012
sqrt(avgRoomPerimeter),log(totalLength.std),-0.310383866722,0.225322334353
avgRoomArea,log(totalLength.std),-0.299912450546,0.242182042969
avgRoomPerimeter,sqrt(totalTime.std),-0.2939064641,0.252201026412
avgRoomPerimeter,log(totalTime.mean),-0.293455191053,0.252964115196
sqrt(avgRoomWallRatio),totalLength.std,-0.290444683621,0.258091610541
wallRatio,totalLength.std,0.28671150413,0.264538919876
avgRoomWallRatio,sqrt(totalTime.std),-0.28524279547,0.267102419637
sqrt(avgRoomArea),log(totalLength.std),-0.282332477649,0.272227145508
sqrt(area),log(totalTime.std),0.280361907325,0.275731058639
area,log(totalTime.std),0.278650196848,0.278796940892
log(area),log(totalTime.std),0.26768390098,0.29892904992
log(avgRoomWallRatio),log(totalLength.std),-0.263732800413,0.306389838662
wallRatio,sqrt(totalLength.std),0.262745941407,0.308270394596
log(avgRoomArea),log(totalLength.std),-0.261817621225,0.310045625638
avgRoomPerimeter,sqrt(totalLength.std),-0.260466714693,0.312639745446
avgRoomArea,log(totalTime.mean),-0.257326214011,0.318719681298
sqrt(wallRatio),totalLength.std,0.255653169602,0.321986752501
avgRoomArea,sqrt(totalTime.std),-0.255086697489,0.323097361507
avgRoomWallRatio,log(totalTime.mean),-0.254703730107,0.323849461985
log(avgRoomPerimeter),log(totalLength.std),-0.252643092259,0.327913809512
