x, y, r^2, avg 5-fold RMSE, avg 5-fold r^2 
topology_std_betweenness_centrality,rotError.mean.mean,0.25510886259,0.195183363592,-0.165191459389
topology_avg_betweenness_centrality,rotError.mean.mean,0.251046461579,0.192357973739,-33.3489021019
topology_std_betweenness_centrality,rotError.std.mean,0.241912670709,0.222224860422,-0.117495494846
topology_avg_katz_centrality,rotError.mean.mean,0.234420237636,0.200574933145,-0.0700923325775
topology_avg_betweenness_centrality,rotError.std.mean,0.226458725507,0.254747023778,-3.49013162648
totalLength,rotError.mean.mean,0.222710915694,0.202769404035,0.100869849628
totalLength,rotError.std.mean,0.218238780607,0.240421741045,-2.76105757665
topology_density,rotError.mean.mean,0.217837599646,0.250350723031,-0.171487731005
topology_avg_eigenvector_centrality,rotError.mean.mean,0.21720016186,0.197521070375,-16.2348770467
topology_avg_katz_centrality,rotError.std.mean,0.213131288056,0.233090759669,-74.0094288553
topology_avg_eigenvector_centrality,rotError.std.mean,0.197056223221,0.247829434367,-7.95262959966
topology_density,rotError.std.mean,0.194813281447,0.251828054416,-27.2831083894
topology_std_closeness_centrality,rotError.mean.mean,0.163483430526,0.209803835485,0.0524536169138
topology_std_closeness_centrality,rotError.std.mean,0.152280711544,0.239726684751,-0.470610157122
topology_avg_betweenness_centrality,transError.mean.mean,0.13674954,3.13598161679,-3.21832508807
topology_avg_betweenness_centrality,transError.std.mean,0.129052826441,4.64410117976,-0.38547154776
voronoi_std_betweenness_centrality,rotError.std.mean,0.122825037649,0.248864423432,-9.92453017559
topology_std_betweenness_centrality,transError.mean.mean,0.118610479908,2.85761121746,-1.95308782546
totalTime,rotError.mean.mean,0.116406096273,0.20118091164,-13.4694679554
topology_density,rotError.mean.std,0.113763825157,0.157265584449,-67.3482671799
topology_avg_closeness_centrality,rotError.mean.mean,0.113504665126,0.221325589062,-0.0721433901589
topology_density,transError.mean.mean,0.113124973042,2.98304226778,-1.19287324593
traversalTime,rotError.mean.mean,0.112709689077,0.206910164149,-0.311796219525
topology_std_betweenness_centrality,transError.std.mean,0.11216430115,4.57107398744,-0.775798644667
totalTime,rotError.std.mean,0.110310732495,0.256375054261,-83.511991672
traversalTime,rotError.std.mean,0.109984008661,0.24460311861,-7.3570689647
voronoi_std_betweenness_centrality,rotError.mean.mean,0.109700198017,0.202730879395,-20.1743430179
topology_avg_katz_centrality,transError.mean.mean,0.106335078366,3.04628381782,-0.170732424372
topology_avg_closeness_centrality,rotError.std.mean,0.105724663198,0.282795154695,-14.0542450077
topology_nodes,rotError.mean.mean,0.103221510708,0.221015474648,-0.00145960652555
topology_density,transError.std.mean,0.0955704042255,4.51438232384,-1.89978432725
topology_avg_katz_centrality,rotError.mean.std,0.0954389826403,0.155602090913,-163.477445333
topology_avg_eigenvector_centrality,rotError.mean.std,0.0953404155182,0.170743950229,-16.3469870335
topology_nodes,rotError.std.mean,0.0950230839168,0.244522339103,-0.570055013482
topology_avg_katz_centrality,transError.std.mean,0.0940898872933,4.91109299396,-1.00768084447
topology_std_closeness_centrality,rotError.mean.std,0.0917939749621,0.147857602345,-0.166506424296
topology_avg_eigenvector_centrality,transError.mean.mean,0.0905064461828,3.27417141696,-4.0595283777
topology_std_betweenness_centrality,rotError.mean.std,0.0901492146447,0.136700380294,-7.05672041509
topology_avg_closeness_centrality,rotError.mean.std,0.0825534474801,0.15700771539,-5.70510287837
topology_avg_betweenness_centrality,rotError.mean.std,0.078641388218,0.159634740459,-0.288291257226
topology_edges,rotError.mean.mean,0.0781796317929,0.220643288576,-7.45631489127
topology_avg_eigenvector_centrality,transError.std.mean,0.0767502527413,5.21696062711,-1.70859013219
topology_edges,rotError.std.mean,0.0728002636271,0.256849614435,-0.742590446571
totalLength,transError.std.mean,0.0726704395856,5.16652437136,-0.966584741637
topology_std_closeness_centrality,transError.mean.mean,0.0708382450177,3.01012433537,-6.30062006948
totalLength,transError.mean.mean,0.0633957075756,3.22926228011,-0.0773227490584
totalLength,rotError.numSamples.mean,0.0629371904703,286809.024478,-0.774027255399
totalLength,transError.numSamples.mean,0.0629371904703,259413.871741,-2.70590133088
roomPerimeter,transError.std.std,0.0628531286473,2.91912016198,-9.83468117234
topology_std_closeness_centrality,transError.std.mean,0.0608898912769,4.78026942227,-0.0325947340957
totalLength,rotError.mean.std,0.0580502600935,0.146711945542,-109.460678628
topology_diameter,rotError.numSamples.mean,0.057389625874,310912.353712,-55.8791472536
topology_diameter,transError.numSamples.mean,0.057389625874,261621.309315,-1.07662576796
topology_avg_shortest_path_length,rotError.mean.mean,0.0549461816471,0.217869036014,-0.395137886694
topology_radius,rotError.numSamples.std,0.0542657243888,180604.421768,-104.225174023
topology_radius,transError.numSamples.std,0.0542657243888,192882.911156,-1597.94942551
topology_avg_shortest_path_length,rotError.std.mean,0.0540566217794,0.261303103098,-6.26540158725
perimeter,transError.std.std,0.0540210389619,3.1473009739,-35.3681113459
traversalTime,transError.std.mean,0.0512974878368,5.14122026918,-0.170167784734
totalLength,rotError.std.std,0.0507837362122,0.150605470832,-8.65251457625
topology_numBifurcationPoints,rotError.mean.mean,0.0490930903647,0.219183595968,-8.06519389339
roomPerimeter,transError.mean.std,0.0484573345949,2.15945606252,-2.72269602948
topology_numBifurcationPoints,rotError.std.mean,0.0477416842186,0.262044413967,-11.6938763629
topology_avg_shortest_path_length,rotError.mean.std,0.046430147195,0.152126575135,-135.437611019
traversalTime,rotError.numSamples.mean,0.0447373522583,263426.959721,-1.09597753219
traversalTime,transError.numSamples.mean,0.0447373522583,282903.387252,-0.888543538285
topology_std_eigenvector_centrality,rotError.numSamples.mean,0.0416568338018,289433.946014,-0.740941350029
topology_std_eigenvector_centrality,transError.numSamples.mean,0.0416568338018,279671.043287,-0.351442399207
area,transError.std.std,0.0413717927656,3.27846203798,-2.50279270214
topology_density,rotError.std.std,0.0392339087863,0.143301302618,-3.24209585132
topology_avg_betweenness_centrality,rotError.numSamples.mean,0.0391829962675,281001.49189,-0.223169603613
topology_avg_betweenness_centrality,transError.numSamples.mean,0.0391829962675,274598.725975,-0.62791410689
topology_std_closeness_centrality,rotError.std.std,0.0384582040523,0.139945989927,-0.0917157364552
voronoi_avg_betweenness_centrality,rotError.std.mean,0.0362101772168,0.284127725536,-93.7223800007
perimeter,transError.mean.std,0.0360850660357,2.15810517651,-19.7885832589
topology_avg_closeness_centrality,transError.mean.mean,0.0357758913875,3.15088520153,-1.04882767099
traversalTime,transError.mean.mean,0.0352061819672,3.0188055834,-0.180278099015
topology_diameter,rotError.numSamples.std,0.0349679340357,185177.672578,-28.8343454113
topology_diameter,transError.numSamples.std,0.0349679340357,187203.984731,-36.4512505912
roomPerimeter,rotError.numSamples.std,0.0345563306365,183735.553118,-4.2036622595
roomPerimeter,transError.numSamples.std,0.0345563306365,182813.153162,-0.388461459707
numRooms,rotError.std.mean,0.0342785806925,0.237522039857,-4.59084679347
numRooms,rotError.mean.mean,0.0335338105024,0.223546127038,-15.50289984
topology_std_eigenvector_centrality,rotError.std.mean,0.0335278970505,0.263220986981,-0.238551182497
topology_avg_closeness_centrality,rotError.std.std,0.0334115872101,0.14334350905,-0.41060361283
totalTime,rotError.mean.std,0.0328611969336,0.142460169478,-20.6985045542
voronoi_avg_betweenness_centrality,rotError.mean.mean,0.0327803838363,0.225754919655,-76.8385761415
voronoi_edges,rotError.std.mean,0.0324592117577,0.262903168789,-8.54172271092
topology_nodes,transError.std.mean,0.0322146975139,4.72385607516,-0.810613714491
topology_radius,rotError.numSamples.mean,0.0321739236237,284727.852368,-4.89262218279
topology_radius,transError.numSamples.mean,0.0321739236237,315082.697647,-5.40285995148
topology_std_eigenvector_centrality,rotError.mean.mean,0.0319968136406,0.20658050343,-3.40013829346
voronoi_edges,rotError.mean.mean,0.0316487315366,0.229264106452,-0.572594236947
topology_std_betweenness_centrality,rotError.std.std,0.0314506505163,0.153844783781,-2.90671501041
topology_std_betweenness_centrality,rotError.numSamples.mean,0.031187487309,287803.373557,-0.179094026856
topology_std_betweenness_centrality,transError.numSamples.mean,0.031187487309,265689.167382,-4.48331962569
voronoi_numBifurcationPoints,rotError.std.mean,0.0306647960748,0.258924789781,-2.20295224229
topology_edges,transError.std.mean,0.0303874428043,4.99809802102,-4.29197107236
voronoi_nodes,rotError.std.mean,0.0302242561614,0.259026607302,-0.186023196119
voronoi_diameter,rotError.std.std,0.029896478663,0.156332117761,-7.05528487861
voronoi_nodes,rotError.mean.mean,0.0297806374106,0.228775949899,-21.6881375108
topology_nodes,transError.mean.mean,0.0295655841502,3.10962705985,-0.0313390929388
area,transError.mean.std,0.0287345646582,2.12975221237,-1.84766159995
topology_std_eigenvector_centrality,transError.std.mean,0.0287252361088,4.80635861011,-0.786365128082
topology_avg_eigenvector_centrality,rotError.std.std,0.0286959904777,0.143243383863,-154.685826342
topology_avg_katz_centrality,rotError.std.std,0.0281954231425,0.149339150895,-0.125605867455
voronoi_numBifurcationPoints,rotError.mean.mean,0.0278522903229,0.217607928731,-0.0165391115017
perimeter,rotError.numSamples.std,0.0274822819885,187811.095328,-31.8546758451
perimeter,transError.numSamples.std,0.0274822819885,195915.768347,-8.81683709612
topology_radius,transError.std.std,0.0273997379001,2.90706909092,-147.573000582
totalTime,rotError.std.std,0.0273741860398,0.14916620191,-0.822409025978
topology_edges,transError.mean.mean,0.0258322560598,3.05265960083,-1.33988274603
area,rotError.numSamples.std,0.0252774681249,195369.581932,-25.5386431756
area,transError.numSamples.std,0.0252774681249,179616.710779,-27.2097442942
topology_avg_closeness_centrality,transError.std.mean,0.0239742673639,5.28941638667,-0.549812523027
topology_avg_shortest_path_length,rotError.std.std,0.0223400092437,0.149665241675,-3.93405647357
topology_numBifurcationPoints,transError.std.mean,0.0222539100161,4.95189508939,-16.6728661967
topology_std_katz_centrality,transError.std.mean,0.0217986958198,5.04007252721,-3.17295953777
roomPerimeter,rotError.std.mean,0.0212634105043,0.259309891728,-42.1929121151
topology_density,transError.mean.std,0.020985233099,2.63392043157,-26.889131898
topology_radius,rotError.std.mean,0.0208744352275,0.258296639946,-0.323057169105
topology_numBifurcationPoints,transError.mean.mean,0.0207724071895,3.2190924484,-3.67950306521
