dataset, Voronoi distance, Voronoi rotation, totalLen, totalRot, transError.mean.mean, transError.mean.std, rotError.mean.mean, rotError.mean.std
11-0,467.9583933426243,142.797636875,618.2223843241651,468.5711622726351,0.17726751515151515,0.044957984810818315,0.005215878787878787,0.0015218816255797686
11-4,835.5625758293434,315.751094187,838.1405220543988,659.7261303830372,0.16891654285714286,0.05193249749618268,0.004383799999999999,0.0008924804535674717
130604-Plan_updated,837.3795500298131,398.099932842,877.0513020103145,619.9073805946548,0.22790514285714286,0.06863561607974579,0.008091880952380953,0.0028472199155900177
24-1,1026.2924094293276,274.851451092,1551.6681012577956,753.2597686472216,0.33052748780487806,0.06531522464439216,0.004203268292682927,0.0010036856719207643
324-Elm-Furn-Plan_updated,629.6039065676443,323.202257539,729.2015843730595,651.5126485909908,0.259065,0.0708060859107464,0.011568178571428573,0.004147065744540447
41-0,1403.4685672548653,237.928231852,3566.889065391565,1200.119668277634,0.49319587234042556,0.10559984044487805,0.006306808510638297,0.0021726220910609066
41-1,1443.5831536816993,218.754687535,2927.897898763967,1172.33601311441,0.46645317073170733,0.10867028539261464,0.005833609756097561,0.001640444643441985
41-2,2683.3904651343673,499.679439246,3477.1185721206057,1515.8925319252874,0.5966926470588235,0.14858299965693217,0.008137764705882355,0.0019142292422005007
43-2,859.6327961774047,202.61586392,2543.9787414206426,828.0180899304625,0.3078955428571429,0.09106215226295965,0.0048088,0.0011075887013817772
44-1,1061.2424537735844,193.837802558,2795.07614129934,1381.1073963276913,0.4431480714285715,0.07588447976691214,0.00653245238095238,0.0048774809325852235
48-3,1340.5820055066793,288.507445152,1883.075208870181,888.9944846217954,0.3297285675675676,0.082320358893165,0.004598864864864866,0.001670183679203888
54-3,368.5209775939213,147.625909896,922.7954158587178,436.9411048667977,0.18371758064516128,0.051580595704933015,0.004684419354838709,0.002460121892786479
7A-2,450.10327703100694,142.066537508,521.3381922115522,260.63272692306833,0.1651843235294118,0.041020283071642516,0.002868764705882353,0.0010958782150785446
8-1,1513.5872626980392,355.645659761,2248.6986764811863,898.9393677482846,0.3807470769230769,0.09311401980819127,0.004718115384615385,0.0009586766249897695
